Country,Code,Year,"School life expectancy, primary to tertiary, both sexes (years)"
Burkina Faso,BFA,1974,0.929830015
Burkina Faso,BFA,1975,0.971409976
Burkina Faso,BFA,1976,1.008919954
Burkina Faso,BFA,1977,1.055089951
Burkina Faso,BFA,1978,1.104400039
Burkina Faso,BFA,1979,1.15734005
Burkina Faso,BFA,1980,1.234859943
Burkina Faso,BFA,1981,1.32178998
Burkina Faso,BFA,1982,1.44532001
Burkina Faso,BFA,1983,1.562029958
Burkina Faso,BFA,1984,1.672989964
Burkina Faso,BFA,1985,1.856349945
Burkina Faso,BFA,1986,2.042030096
Burkina Faso,BFA,1987,2.216320038
Burkina Faso,BFA,1988,2.300100088
Burkina Faso,BFA,1989,2.439179897
Burkina Faso,BFA,1990,2.471770048
Burkina Faso,BFA,1991,2.591730118
Burkina Faso,BFA,1992,2.666199923
Burkina Faso,BFA,1993,2.766360044
Burkina Faso,BFA,1994,2.889139891
Burkina Faso,BFA,1999,3.439510107
Burkina Faso,BFA,2001,3.598469973
Burkina Faso,BFA,2003,3.914249897
Burkina Faso,BFA,2005,4.655280113
Burkina Faso,BFA,2006,4.932059765
Burkina Faso,BFA,2007,5.39139986
Burkina Faso,BFA,2008,5.863100052
Burkina Faso,BFA,2009,6.28302002
Burkina Faso,BFA,2010,6.703390121
Burkina Faso,BFA,2011,7.151050091
Burkina Faso,BFA,2012,7.454750061
Burkina Faso,BFA,2013,7.692810059
Burundi,BDI,1971,2.105139971
Burundi,BDI,1972,2.043550014
Burundi,BDI,1973,1.546239972
Burundi,BDI,1974,1.431879997
Burundi,BDI,1975,1.472689986
Burundi,BDI,1976,1.485929966
Burundi,BDI,1979,1.638440013
Burundi,BDI,1980,1.797790051
Burundi,BDI,1981,1.968680024
Burundi,BDI,1982,2.265010118
Burundi,BDI,1984,3.026989937
Burundi,BDI,1985,3.332839966
Burundi,BDI,1986,3.619669914
Burundi,BDI,1987,4.061319828
Burundi,BDI,1988,4.555240154
Burundi,BDI,1989,4.415400028
Burundi,BDI,1990,4.440010071
Burundi,BDI,1991,4.566659927
Burundi,BDI,1992,4.38616991
Burundi,BDI,1993,4.676290035
Burundi,BDI,2001,4.381410122
Burundi,BDI,2002,4.742060184
Burundi,BDI,2004,5.594590187
Burundi,BDI,2005,5.902780056
Burundi,BDI,2006,7.240059853
Burundi,BDI,2007,7.894040108
Burundi,BDI,2009,9.305689812
Burundi,BDI,2010,9.894900322
Burundi,BDI,2011,10.32752037
Burundi,BDI,2012,10.45629978
Burundi,BDI,2013,10.64743042
Cambodia,KHM,1971,2.230479956
Cambodia,KHM,1972,2.993999958
Cambodia,KHM,1991,6.772729874
Cambodia,KHM,2000,7.603020191
Cambodia,KHM,2001,8.206800461
Cambodia,KHM,2002,9.28717041
Cambodia,KHM,2003,9.68612957
Cambodia,KHM,2004,9.964030266
Cambodia,KHM,2006,10.32458019
Cambodia,KHM,2007,10.4972496
